age,age_youngest_child,debt_equity,gender,bad_payment,gold_card,pension_plan,household_debt_to_equity_ratio,income,members_in_household,months_current_account,months_customer,call_center_contacts,loan_accounts,number_products,number_transactions,non_worker_percentage,white_collar_percentage,rfm_score,Pension
43,14,43,1,0,0,0,57,41301,3,37,48,2,3,0,0,10,31,0.0,1
28,0,28,0,0,0,0,56,35040,3,31,36,2,0,4,29,15,27,36.414,0
22,0,22,0,0,0,0,54,58446,7,9,12,2,0,4,9,8,36,15.306,0
35,4,35,0,0,0,0,58,44367,7,40,48,2,2,3,2,11,30,8.741,0
30,1,30,1,0,0,0,59,51268,4,20,24,1,3,0,0,6,33,0.0,0
64,32,64,0,0,0,0,65,41806,6,17,24,0,0,6,23,8,25,30.299,1
40,10,40,0,0,0,0,52,37919,4,13,24,3,0,0,0,18,29,0.0,0
27,2,27,0,0,0,0,48,40999,2,12,24,3,1,3,1,14,37,7.489,0
56,28,56,1,0,0,0,68,50931,1,19,24,0,0,3,1,5,26,7.907,1
34,3,34,1,0,0,0,73,53825,3,40,48,0,0,2,1,11,15,7.512,0
35,7,35,1,0,0,0,55,55281,4,22,24,2,1,5,3,11,32,9.43,0
53,22,53,1,0,0,0,59,55428,1,-2,0,2,0,0,0,6,34,0.0,0
33,2,33,0,0,0,0,51,34581,3,35,48,3,1,0,0,11,37,0.0,0
22,0,22,1,0,0,0,60,29145,5,-4,0,1,1,1,0,9,30,0.0,0
31,6,31,0,0,0,0,54,51741,7,0,12,2,7,0,0,9,36,0.0,0
55,24,55,1,0,0,0,50,38164,4,33,36,3,1,0,0,12,36,0.0,0
39,14,39,0,0,0,0,49,39939,4,11,24,3,3,0,0,13,36,0.0,0
11,0,11,1,0,1,0,53,55527,4,5,12,3,3,2,1,12,34,8.293,0
32,3,32,1,0,0,0,44,38077,2,37,48,4,2,0,0,19,35,0.0,0
18,0,18,0,0,0,0,55,48582,6,32,36,2,2,3,3,11,33,11.054,0
40,12,40,1,0,0,0,44,27350,3,8,12,4,1,4,2,13,41,11.22,0
39,10,39,1,0,0,0,45,32283,6,10,12,4,3,2,1,12,41,7.566,1
33,2,33,0,0,0,0,51,45056,6,12,24,3,1,0,0,4,44,0.0,1
41,12,41,0,0,0,0,58,53992,7,29,36,2,0,4,3,9,32,12.436,1
48,18,48,0,0,0,0,65,45653,3,24,36,0,0,0,0,11,23,0.0,1
26,0,26,1,0,0,0,69,44835,7,-1,0,0,2,2,0,8,21,0.0,0
41,10,41,1,0,0,0,67,46590,2,21,24,0,0,4,2,15,16,11.264,0
27,0,27,0,0,0,0,58,45454,5,-6,0,2,1,0,0,8,32,0.0,0
43,18,43,1,0,0,0,69,61778,6,19,24,0,3,1,23,9,20,29.479,0
52,23,52,1,0,0,0,30,45269,2,29,36,6,3,2,1,16,52,7.622,0
40,5,40,1,0,0,0,64,35952,3,16,24,0,2,0,0,8,27,0.0,0
33,4,33,1,0,0,0,50,46146,5,18,24,3,0,0,0,7,42,0.0,1
44,17,44,0,0,0,0,40,41016,7,10,12,5,3,0,0,10,49,0.0,1
40,16,40,1,0,0,0,55,54066,7,-4,0,2,4,0,0,10,34,0.0,0
24,0,24,1,0,0,0,61,46563,7,-1,0,1,2,0,0,16,22,0.0,0
45,12,45,1,0,0,0,35,31041,6,36,48,5,4,0,0,21,43,0.0,1
49,22,49,0,0,0,0,60,46613,2,14,24,1,0,2,1,5,34,7.646,1
30,0,30,0,0,0,0,50,41132,4,12,24,3,0,0,0,11,37,0.0,0
46,16,46,1,0,0,0,60,41590,7,11,24,1,1,0,0,14,24,0.0,0
71,40,71,1,0,0,0,72,55283,3,31,36,0,0,4,2,7,19,10.32,1
39,10,39,1,0,0,0,42,48559,3,37,48,4,0,5,2,12,44,13.512,0
34,3,34,1,0,0,0,39,50593,5,25,36,5,2,2,1,9,51,8.566,1
48,20,48,1,0,0,0,57,48026,6,39,48,2,1,0,0,7,34,0.0,1
40,12,40,0,0,0,0,51,45871,4,38,48,3,1,2,1,9,39,11.979,0
40,13,40,1,0,0,0,53,30994,5,18,24,3,2,0,0,9,37,0.0,1
41,10,41,0,0,0,0,53,33925,7,22,24,2,4,3,2,9,37,8.421,0
46,10,46,0,0,0,0,43,50077,5,20,24,4,0,2,1,17,39,10.059,1
50,21,50,0,0,0,0,64,46988,1,30,36,0,1,0,0,6,29,0.0,1
61,33,61,0,0,0,0,48,31041,1,22,24,3,1,0,0,12,39,0.0,0
46,16,46,0,0,0,0,58,34607,6,-4,0,1,1,1,0,14,26,0.0,1
60,29,60,1,0,0,0,61,53174,4,20,24,1,4,0,0,14,24,0.0,1
31,3,31,1,0,0,0,65,53176,7,30,36,0,0,1,1,11,22,10.786,0
38,4,38,1,0,0,0,59,46753,5,35,36,1,0,3,2,7,33,12.945,0
38,9,38,0,0,1,0,46,39959,4,-3,0,3,0,0,0,11,42,0.0,1
42,13,42,1,0,0,0,53,70881,6,39,48,2,1,2,37,12,33,45.268,0
37,8,37,0,0,0,0,48,47065,4,39,48,3,0,2,1,16,35,7.379,0
39,9,39,1,0,0,0,60,60189,4,14,24,1,1,3,10,7,31,16.879,0
43,16,43,1,0,0,0,41,42144,6,39,48,4,1,0,0,10,47,0.0,0
20,0,20,1,0,0,0,59,45133,2,25,36,1,1,2,2,9,30,11.481,0
42,13,42,1,0,0,0,57,45932,2,29,36,2,0,0,0,17,24,0.0,0
42,9,42,0,0,0,0,53,26672,4,24,36,2,0,0,0,13,32,0.0,0
38,8,38,0,0,0,0,55,47994,6,11,24,2,0,0,0,8,35,0.0,0
47,21,47,0,0,0,0,45,41519,4,-1,0,4,0,0,0,18,35,0.0,0
30,0,30,1,0,0,0,47,46398,4,20,24,4,0,0,0,13,39,0.0,0
54,23,54,0,0,0,0,68,56308,2,10,12,0,0,3,2,9,21,11.025,1
34,1,34,1,0,1,0,60,26957,3,23,36,1,1,0,0,12,27,0.0,0
40,9,40,0,0,0,0,46,46768,4,36,48,4,0,0,0,14,39,0.0,0
32,3,32,0,0,0,0,42,40644,2,9,12,4,0,0,0,20,36,0.0,0
60,32,60,0,0,0,0,26,47988,2,40,48,7,1,1,1,22,50,7.549,1
39,10,39,0,0,0,0,54,40927,6,23,24,2,4,0,0,12,32,0.0,0
51,20,51,1,0,0,0,56,55582,3,24,36,2,2,1,1,5,38,11.966,1
44,13,44,0,0,0,0,39,30037,7,18,24,5,1,0,0,16,44,0.0,0
37,6,37,1,0,0,0,64,46033,4,24,36,0,0,0,0,16,18,0.0,0
41,9,41,0,0,0,0,65,35400,6,30,36,0,3,0,0,13,20,0.0,1
28,0,28,0,0,0,0,30,33090,4,40,48,6,0,3,1,17,52,7.356,0
49,22,49,1,0,0,0,35,52579,2,22,24,5,0,4,1,13,51,10.482,0
34,1,34,0,0,0,0,59,57238,5,12,24,1,1,1,7,9,30,13.885,0
31,3,31,0,0,0,0,72,43792,3,0,12,0,1,0,0,8,19,0.0,0
22,0,22,1,0,0,0,63,35864,7,11,24,1,0,4,2,11,24,13.716,0
53,19,53,0,0,1,0,49,40775,4,41,48,3,1,0,7,10,39,13.816,1
47,16,47,1,0,0,0,55,41988,5,22,24,2,1,5,25,13,31,32.171,0
48,18,48,0,0,0,0,46,54622,6,6,12,4,0,0,0,16,36,0.0,1
32,1,32,0,0,0,0,48,28320,7,20,24,3,1,4,1,13,38,8.152,0
32,3,32,0,0,0,0,51,51526,4,15,24,3,4,0,0,13,35,0.0,0
35,8,35,0,0,0,0,52,55292,5,27,36,3,0,0,0,13,34,0.0,0
37,7,37,0,0,0,0,57,42666,7,18,24,2,0,0,0,9,32,0.0,1
43,15,43,0,0,0,0,56,22505,5,14,24,2,1,0,0,11,32,0.0,1
57,29,57,0,0,0,0,50,54380,2,-3,0,3,1,0,0,13,36,0.0,1
37,9,37,0,0,0,0,59,74149,7,16,24,1,0,2,1,13,27,10.999,1
52,26,52,1,0,0,0,51,26533,5,17,24,3,1,0,0,13,34,0.0,0
46,12,46,1,0,0,0,52,52192,2,11,12,3,0,4,10,10,36,17.719,1
33,2,33,0,0,0,0,49,42534,3,5,12,3,0,2,1,12,38,9.406,0
41,9,41,1,0,0,0,54,51717,4,6,12,2,1,0,0,16,29,0.0,0
34,2,34,0,0,0,0,39,37543,5,17,24,5,7,3,2,13,47,10.112,0
25,0,25,1,0,0,0,58,55336,7,36,48,2,1,0,0,9,31,0.0,0
41,14,41,0,0,0,0,45,46650,2,22,24,4,3,3,2,12,41,11.081,1
49,16,49,0,0,0,0,60,53632,2,40,48,1,0,6,6,9,29,12.647,0
27,0,27,1,0,0,0,41,51000,2,14,24,5,0,0,0,14,44,0.0,0
37,10,37,1,0,0,0,58,38248,5,35,36,2,0,0,0,5,36,0.0,0
26,0,26,0,0,0,0,58,28283,5,31,36,2,1,0,0,3,37,0.0,0
36,6,36,0,0,0,0,61,42716,6,33,36,1,2,0,0,5,32,0.0,0
39,16,39,1,0,0,0,38,47975,4,10,12,5,2,0,0,16,44,0.0,0
39,10,39,0,0,0,0,50,55557,5,31,36,3,1,0,0,12,37,0.0,0
41,8,41,1,0,0,0,49,33774,2,10,12,3,1,0,0,11,38,0.0,0
29,0,29,1,0,0,0,58,35400,6,36,48,2,0,0,0,9,32,0.0,0
35,5,35,1,0,0,0,46,41052,5,12,24,4,1,2,16,14,38,22.75,0
53,20,53,0,0,0,0,54,40990,2,40,48,2,0,3,1,10,34,12.616,1
81,54,81,0,0,0,0,65,31348,1,23,36,0,1,2,1,10,24,13.042,0
56,32,56,1,0,0,0,34,29969,3,7,12,6,1,2,1,20,45,9.299,1
24,0,24,1,0,0,0,48,38014,6,32,36,3,0,0,0,9,42,0.0,0
38,12,38,1,0,0,0,62,58728,3,28,36,1,2,2,1,9,28,9.799,0
48,20,48,1,0,0,0,56,30264,5,33,36,2,0,1,1,11,31,10.293,0
31,2,31,0,0,0,0,69,51457,2,8,12,0,0,4,1,12,18,10.862,0
38,8,38,1,0,0,0,61,69627,3,39,48,1,2,4,1,11,26,10.686,0
41,10,41,0,0,0,0,53,19951,4,22,24,2,0,5,5,9,36,13.412,0
45,17,45,0,0,0,0,62,42224,7,22,24,1,0,0,0,6,30,0.0,1
22,0,22,1,0,0,0,47,42623,4,40,48,3,0,5,10,8,43,18.213,0
43,16,43,1,0,0,0,70,49192,7,39,48,0,0,0,0,8,20,0.0,0
32,1,32,0,0,0,0,47,47259,2,14,24,3,2,2,2,14,38,11.271,0
24,0,24,1,0,0,0,53,53248,4,34,36,2,1,4,1,8,38,11.222,0
51,24,51,0,0,0,0,50,51516,1,22,24,3,1,3,3,14,35,13.513,0
57,28,57,0,0,0,0,61,29962,6,9,12,1,2,0,0,7,30,0.0,1
18,0,18,1,0,0,0,58,41036,6,29,36,2,0,1,1,10,30,8.499,0
28,0,28,0,0,0,0,68,46606,2,32,36,0,2,0,0,15,16,0.0,0
45,15,45,1,0,0,0,60,54366,2,30,36,1,1,4,4,8,31,11.391,1
44,10,44,1,0,0,0,63,48616,5,18,24,1,1,0,0,13,23,0.0,1
13,0,13,0,0,0,0,63,33567,7,40,48,1,0,5,3,8,27,9.513,0
41,18,41,1,0,0,0,44,46626,2,29,36,4,2,6,5,11,44,12.738,0
46,17,46,0,0,0,0,43,38498,3,-4,0,4,3,1,0,8,47,0.0,0
57,30,57,0,0,0,0,47,26341,2,11,24,4,3,2,1,11,41,12.869,1
27,0,27,1,0,0,0,50,54814,3,25,36,3,0,0,0,15,34,0.0,0
90,58,90,1,0,0,0,57,38190,4,-3,0,2,3,0,0,11,30,0.0,0
37,10,37,0,0,0,0,57,43274,3,40,48,2,1,0,0,9,33,0.0,0
34,7,34,0,0,0,0,48,46647,3,16,24,3,0,0,0,11,40,0.0,0
29,0,29,0,0,0,0,61,52836,5,23,36,1,1,0,0,5,32,0.0,0
48,20,48,1,0,0,0,64,48641,6,8,12,1,3,0,0,3,32,0.0,1
39,13,39,0,0,0,0,59,31006,4,10,12,2,1,0,0,11,28,0.0,1
36,9,36,1,0,0,0,53,46116,2,41,48,2,1,2,1,8,37,10.752,0
30,0,30,1,0,0,0,62,51919,2,17,24,1,0,0,1,10,27,13.092,0
39,10,39,0,0,0,0,58,19856,3,12,24,2,0,4,2,11,29,8.591,0
40,14,40,1,0,0,0,51,51991,2,29,36,3,1,3,2,13,34,9.765,0
27,0,27,1,0,0,0,44,55284,6,24,36,4,3,0,0,24,31,0.0,0
57,25,57,1,0,0,0,53,25106,5,15,24,2,0,5,1,10,35,8.382,1
41,12,41,0,0,0,0,48,36663,7,39,48,3,0,2,1,10,41,10.612,1
18,0,18,1,0,0,0,31,38186,2,25,36,6,0,1,1,18,50,11.309,0
29,0,29,1,0,0,0,57,39898,4,41,48,2,0,2,1,9,32,8.169,0
42,10,42,0,0,0,0,49,39801,3,35,48,3,1,2,9,11,39,16.228,0
49,16,49,0,0,0,0,66,47401,3,41,48,0,2,4,2,10,23,12.967,0
35,8,35,0,0,0,0,61,28279,4,-4,0,1,1,0,0,16,22,0.0,0
47,14,47,0,0,0,0,58,25549,2,-3,0,2,0,0,0,4,36,0.0,0
41,8,41,1,0,0,0,57,53220,5,9,12,2,1,0,0,5,36,0.0,1
39,12,39,1,0,0,0,45,54033,4,-4,0,4,1,0,0,9,44,0.0,0
32,1,32,1,0,0,0,62,41016,5,6,12,1,2,6,3,6,31,11.413,0
21,0,21,0,0,0,0,57,26969,2,22,24,2,2,5,4,12,30,11.022,0
25,0,25,1,0,0,0,59,38183,2,-4,0,1,1,1,0,12,28,0.0,0
50,16,50,1,0,0,0,49,40975,6,12,24,3,0,2,1,11,39,9.224,1
33,3,33,0,0,1,0,64,40952,4,9,12,0,3,0,0,6,28,0.0,0
38,7,38,0,0,0,0,52,26191,3,-3,0,3,1,0,0,15,31,0.0,0
43,16,43,0,0,0,0,52,47998,4,40,48,3,3,0,0,8,39,0.0,0
38,9,38,0,0,0,0,69,33138,4,33,36,0,3,0,0,4,25,0.0,0
27,0,27,1,0,0,0,75,48017,5,23,24,0,2,0,0,9,15,0.0,0
50,20,50,0,0,0,0,72,28289,4,-5,0,0,2,0,0,9,18,0.0,1
41,12,41,0,0,1,0,71,48050,7,36,48,0,2,3,1,10,18,9.109,0
60,25,60,0,0,0,0,31,46628,1,12,24,6,4,1,1,9,58,7.619,0
30,4,30,1,0,0,0,49,38994,5,-6,0,3,2,0,0,11,38,0.0,0
20,0,20,0,0,0,0,44,46572,5,8,12,4,2,0,0,13,42,0.0,0
46,16,46,0,0,0,0,56,37499,2,8,12,2,1,2,2,9,33,10.361,1
34,4,34,0,0,0,0,52,54027,3,30,36,2,0,0,0,13,33,0.0,0
37,2,37,0,0,0,0,44,32028,4,39,48,4,1,4,2,11,43,13.177,0
30,0,30,1,0,0,0,64,31043,6,21,24,0,0,0,0,10,25,0.0,0
53,25,53,1,0,0,0,57,23475,4,-1,0,2,1,2,0,8,33,0.0,0
37,8,37,1,0,0,0,42,48988,2,29,36,4,0,0,21,14,42,27.847,0
46,15,46,1,0,0,0,55,34591,7,32,36,2,2,0,0,11,33,0.0,1
44,12,44,0,0,0,0,62,44442,5,22,24,1,3,2,14,5,31,20.932,0
51,18,51,1,0,0,0,50,28638,7,24,36,3,1,0,0,18,31,0.0,1
35,10,35,0,0,0,0,58,42281,5,-1,0,2,1,0,0,18,23,0.0,0
36,5,36,1,0,0,0,53,50581,2,14,24,2,0,0,0,10,35,0.0,0
67,34,67,0,0,0,0,63,32712,1,-5,0,1,0,1,0,11,24,0.0,0
48,21,48,1,0,0,0,55,51907,4,32,36,2,1,0,0,9,34,0.0,0
77,49,77,0,0,0,0,68,55131,4,14,24,0,1,2,1,4,26,8.202,1
42,11,42,0,0,0,0,48,38992,2,13,24,3,0,3,1,14,36,8.599,0
36,11,36,0,0,0,0,73,46612,2,33,36,0,0,1,1,11,15,7.466,1
55,27,55,1,0,0,0,64,35434,1,29,36,1,0,3,12,18,17,18.791,1
29,0,29,0,0,0,0,53,41146,3,-2,0,2,0,0,0,12,33,0.0,0
42,10,42,0,0,0,0,66,53071,2,15,24,0,2,1,1,13,20,10.059,1
46,19,46,0,0,0,0,48,35083,2,16,24,3,0,0,0,5,45,0.0,0
36,7,36,1,0,0,0,55,37940,6,41,48,2,1,2,1,11,32,8.363,1
41,14,41,0,0,0,0,58,42719,6,6,12,2,0,3,1,9,32,7.832,1
30,2,30,0,0,0,0,55,48027,3,31,36,2,0,0,0,11,33,0.0,0
50,20,50,1,0,0,0,62,20666,6,22,24,1,0,6,3,8,29,9.509,0
40,14,40,1,0,0,0,43,55007,7,0,12,4,0,3,1,13,43,7.64,0
41,9,41,0,0,0,0,58,44441,7,21,24,2,1,5,2,10,30,11.608,0
31,0,31,1,0,0,0,67,39347,3,22,24,0,3,6,3,13,19,10.407,0
45,14,45,0,0,0,0,61,39002,5,19,24,1,5,0,0,12,26,0.0,0
40,9,40,0,0,0,1,51,57750,6,16,24,3,1,1,17,8,39,23.977,1
44,14,44,0,0,0,0,46,47951,4,24,36,4,2,0,0,12,40,0.0,0
40,10,40,0,0,0,0,52,35400,6,26,36,3,0,3,1,12,35,7.903,0
51,23,51,0,0,0,0,53,74121,6,26,36,2,0,3,1,11,34,8.764,0
30,0,30,0,0,0,0,62,36653,3,-1,0,1,1,0,0,12,25,0.0,0
43,12,43,1,0,0,0,55,47987,3,17,24,2,1,5,2,13,31,10.876,0
21,0,21,0,0,0,0,53,41064,6,31,36,2,0,4,4,10,35,11.682,0
27,0,27,0,0,0,0,65,40989,7,26,36,0,1,0,0,4,30,0.0,0
35,6,35,0,0,0,0,53,35444,3,39,48,3,0,0,0,10,36,0.0,0
49,17,49,1,0,0,0,60,33691,3,12,24,1,0,2,1,7,31,7.882,0
36,4,36,1,0,0,0,52,52803,6,19,24,3,0,2,1,10,36,10.967,0
44,13,44,0,0,0,0,53,54616,2,28,36,3,1,5,2,9,36,8.777,0
28,0,28,0,0,0,0,60,30287,5,7,12,1,2,0,0,12,27,0.0,0
43,13,43,1,0,0,0,53,54357,5,17,24,2,1,0,0,7,38,0.0,0
35,7,35,1,0,0,0,53,48992,4,12,24,2,0,0,0,11,34,0.0,0
30,1,30,1,0,0,0,42,48031,4,8,12,4,0,0,21,9,47,28.081,0
56,32,56,1,0,0,0,64,44373,4,39,48,1,1,0,0,6,28,0.0,0
36,9,36,1,0,0,0,56,41064,6,40,48,2,0,5,3,15,28,9.895,0
33,4,33,0,0,0,0,64,50610,5,9,12,1,0,0,0,4,30,0.0,0
45,14,45,1,0,0,0,53,54404,2,7,12,3,1,2,1,13,33,9.363,1
48,22,48,0,0,0,1,58,46844,2,7,12,2,1,6,21,13,28,28.844,1
18,0,18,0,0,0,0,68,40660,5,12,24,0,0,0,0,10,20,0.0,0
53,25,53,0,0,0,0,58,51889,1,33,36,2,2,0,0,9,32,0.0,1
44,11,44,1,0,0,0,53,40988,4,33,36,2,0,0,0,11,34,0.0,0
32,2,32,1,0,0,0,69,26958,2,34,36,0,1,0,0,10,19,0.0,0
24,0,24,1,0,0,0,50,32647,6,6,12,3,1,0,0,12,36,0.0,0
34,4,34,0,0,0,0,52,26330,3,22,24,2,7,5,1,12,34,8.099,0
37,3,37,1,0,0,0,38,33597,6,18,24,5,0,0,0,15,45,0.0,0
27,0,27,0,0,0,0,55,53175,4,41,48,2,2,2,1,12,32,7.686,0
57,30,57,0,0,0,0,68,37910,3,32,36,0,5,1,1,7,24,10.899,0
30,0,30,0,0,0,0,49,51542,3,-6,0,3,2,2,0,14,36,0.0,0
37,5,37,1,0,0,0,58,42727,2,23,24,2,0,0,0,15,25,0.0,0
31,3,31,0,0,0,0,51,47980,5,12,24,3,5,5,3,17,31,9.929,0
48,13,48,0,0,0,0,49,28172,5,9,12,3,0,2,1,10,39,13.046,0
39,11,39,1,0,0,0,49,45180,5,30,36,3,1,0,0,7,42,0.0,1
32,0,32,1,0,0,0,51,53398,7,26,36,3,1,1,2,9,39,9.128,0
40,7,40,0,0,0,0,67,41621,6,14,24,0,0,0,0,10,22,0.0,1
53,23,53,0,0,0,0,55,42010,4,11,24,2,1,2,23,9,34,29.786,0
27,0,27,0,0,0,0,58,38938,4,22,24,1,0,5,19,6,35,26.517,0
60,27,60,0,0,0,0,51,46929,1,41,48,3,1,1,1,12,35,8.729,1
61,36,61,1,0,0,0,51,41134,2,33,36,3,0,3,10,12,36,17.114,0
37,8,37,1,0,0,0,59,39898,7,21,24,1,0,0,0,11,28,0.0,0
43,11,43,0,0,0,0,42,30981,4,5,12,5,1,4,2,7,50,8.832,0
44,15,44,1,0,0,0,58,43769,3,0,12,2,1,0,0,7,33,0.0,0
35,8,35,0,0,0,0,53,32095,3,29,36,2,1,0,0,11,34,0.0,0
53,25,53,1,0,0,0,24,35143,4,32,36,7,0,3,1,19,55,7.393,0
39,10,39,0,0,0,0,51,56986,2,5,12,3,0,5,3,13,34,9.53,0
43,17,43,0,0,0,0,48,43256,5,30,36,4,0,1,1,12,39,10.897,0
39,7,39,0,0,0,0,62,38190,7,31,36,1,2,5,2,12,24,10.223,0
41,12,41,0,0,0,0,10,45613,6,-1,0,10,1,0,0,16,73,0.0,0
47,18,47,1,0,0,0,71,54916,2,22,24,0,0,0,0,7,20,0.0,0
22,0,22,1,0,0,0,53,46531,2,-4,0,2,1,0,0,9,36,0.0,0
37,12,37,0,0,0,0,67,51734,7,19,24,0,0,3,10,13,19,17.072,1
50,19,50,1,0,0,0,51,44669,2,26,36,3,0,0,0,9,39,0.0,1
61,29,61,0,0,0,0,48,42681,5,13,24,3,2,3,2,15,35,11.614,1
40,12,40,0,0,0,0,49,58642,7,11,24,3,0,5,3,10,39,13.437,1
52,21,52,0,0,0,0,48,51303,2,23,36,3,2,0,0,15,36,0.0,1
41,9,41,1,0,0,0,56,44422,2,5,12,2,0,6,3,11,31,9.771,0
54,26,54,0,0,0,0,44,53202,3,30,36,4,1,0,0,10,45,0.0,0
50,20,50,1,0,0,0,49,52005,1,22,24,3,0,1,23,17,33,30.145,0
48,14,48,1,0,0,0,48,23886,4,19,24,4,1,0,0,5,45,0.0,1
21,0,21,0,0,0,0,36,50575,7,7,12,5,0,0,0,10,52,0.0,0
39,9,39,0,0,0,0,51,38206,7,23,36,3,2,0,0,11,37,0.0,0
34,8,34,0,0,0,0,63,46799,4,41,48,1,1,2,1,11,25,7.579,0
32,1,32,1,0,0,0,62,54077,4,28,36,1,0,1,1,10,27,10.126,0
35,6,35,1,0,0,0,57,55098,7,22,24,1,0,3,2,8,34,9.739,0
26,0,26,1,0,0,0,70,55317,7,25,36,0,3,0,0,7,22,0.0,0
51,21,51,0,0,0,0,58,55466,4,12,24,2,1,4,2,18,23,10.095,1
38,10,38,1,0,0,0,57,50130,2,-6,0,2,3,0,0,21,20,0.0,0
18,0,18,0,0,0,0,57,55550,7,31,36,2,0,1,1,8,33,11.216,0
42,11,42,0,0,0,0,57,35088,7,20,24,2,1,0,0,10,31,0.0,0
38,9,38,1,0,0,0,48,39293,4,19,24,3,3,1,1,10,41,11.792,0
38,9,38,0,0,0,0,47,41804,3,37,48,3,2,0,0,9,43,0.0,0
47,16,47,0,0,0,0,67,35900,4,22,24,0,0,4,1,13,18,8.817,0
30,0,30,1,0,0,0,68,26997,4,40,48,0,0,3,3,13,18,13.459,0
56,24,56,0,0,0,0,42,45817,4,-3,0,4,0,0,0,14,43,0.0,1
44,13,44,0,0,0,0,62,39428,7,36,48,1,1,1,1,8,28,7.969,1
47,18,47,0,0,0,0,54,39794,2,8,12,2,2,6,20,8,37,26.62,0
21,0,21,0,0,0,0,46,52849,6,6,12,4,2,0,0,13,40,0.0,0
34,7,34,0,0,0,0,49,42796,2,29,36,3,0,6,1,9,40,9.792,0
47,17,47,0,0,0,0,58,41260,5,28,36,2,0,0,0,9,31,0.0,0
41,15,41,1,0,0,0,39,42223,5,22,24,5,4,5,2,13,46,10.481,1
50,20,50,1,0,0,0,57,29676,4,39,48,2,1,0,0,16,26,0.0,1
48,20,48,1,0,0,0,52,54019,3,12,24,2,0,0,0,7,39,0.0,0
32,2,32,0,0,0,0,70,46607,2,37,48,0,0,0,0,10,19,0.0,0
35,7,35,0,0,0,0,51,36956,2,11,24,3,1,0,0,13,34,0.0,0
40,13,40,0,0,0,0,54,38860,5,25,36,2,4,3,1,11,33,8.426,0
41,14,41,1,0,0,0,53,41150,5,25,36,2,1,0,0,12,33,0.0,1
30,0,30,1,0,0,0,49,43999,4,-5,0,3,2,1,0,13,36,0.0,0
43,12,43,1,0,0,0,50,51929,6,8,12,3,2,1,1,15,34,11.816,1
56,29,56,0,0,0,0,53,38003,1,-6,0,2,0,0,0,9,36,0.0,1
60,34,60,0,0,0,0,62,25874,2,10,12,1,0,0,0,16,21,0.0,1
63,31,63,1,0,0,0,55,41939,6,5,12,2,0,0,0,9,34,0.0,0
21,0,21,1,0,0,0,68,45672,4,25,36,0,2,2,2,9,22,9.604,0
37,8,37,1,0,0,0,49,27006,3,39,48,3,1,5,3,12,38,12.05,0
52,20,52,1,0,0,0,36,54381,1,39,48,5,2,0,0,13,49,0.0,1
32,3,32,0,0,0,0,42,40644,2,9,12,4,0,0,0,20,36,0.0,0
39,7,39,0,0,0,0,53,54026,6,38,48,3,1,5,2,4,42,9.353,0
24,0,24,0,0,1,0,61,46576,6,40,48,1,4,0,0,5,33,0.0,0
43,16,43,0,0,0,0,57,44044,2,8,12,2,1,1,1,15,27,9.272,0
41,11,41,1,0,0,0,57,38507,2,23,24,2,6,3,1,8,34,8.799,0
36,5,36,0,0,0,0,63,26963,5,-4,0,1,0,0,0,5,31,0.0,0
43,14,43,1,0,0,0,62,42655,5,41,48,1,2,0,0,11,25,0.0,0
22,0,22,0,0,0,0,51,39940,7,26,36,3,2,0,0,11,36,0.0,0
54,27,54,1,0,0,0,61,27031,1,29,36,1,5,0,0,8,29,0.0,0
53,22,53,0,0,0,0,57,54360,2,32,36,2,1,0,0,11,31,0.0,1
42,12,42,0,0,0,0,55,36721,5,36,48,2,2,0,0,11,33,0.0,0
41,14,41,1,0,0,0,58,46565,4,40,48,2,1,0,0,13,28,0.0,1
38,9,38,1,0,0,0,50,36451,6,-1,0,3,1,0,0,14,34,0.0,0
46,17,46,1,0,0,0,58,55336,7,14,24,2,3,0,0,9,31,0.0,1
45,18,45,0,0,0,0,48,50643,2,35,36,3,0,0,0,13,37,0.0,0
34,2,34,1,0,0,0,66,54399,3,41,48,0,0,0,0,11,22,0.0,0
45,17,45,1,0,0,0,65,31887,3,12,24,0,4,2,2,10,24,12.836,0
40,10,40,1,0,0,0,62,37528,4,15,24,1,1,2,1,7,29,7.478,0
51,19,51,0,0,0,0,54,31927,1,18,24,2,0,3,2,12,32,10.292,0
23,0,23,1,0,0,0,18,35438,5,14,24,8,3,0,0,20,60,0.0,0
41,13,41,1,0,0,0,45,41113,6,34,36,4,0,0,0,11,42,0.0,1
39,8,39,1,0,0,0,65,23465,7,15,24,1,1,0,0,3,31,0.0,0
41,12,41,0,0,0,0,61,45340,6,22,24,1,1,2,2,8,29,8.607,0
19,0,19,0,0,0,0,51,71457,3,7,12,3,0,0,30,11,36,36.854,0
39,8,39,0,0,0,0,34,32659,6,38,48,6,0,1,1,14,50,11.416,0
39,11,39,1,0,0,0,53,37468,4,40,48,2,1,6,3,6,39,9.481,0
37,5,37,1,0,0,0,40,45298,6,12,24,5,1,5,2,18,41,13.406,0
44,11,44,0,0,0,0,56,35368,7,-5,0,2,0,1,0,10,32,0.0,0
36,6,36,0,0,0,0,42,55015,4,7,12,4,3,3,1,10,46,7.512,0
56,28,56,1,0,0,0,53,44433,4,0,12,2,3,0,0,9,37,0.0,0
52,17,52,0,0,0,0,50,35109,4,-4,0,3,2,0,0,9,39,0.0,0
